cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
137.47142774268266,17041,5573,9433,8297,7594
136.49825797273806,17825,5650,9396,7870,7758
132.525571964887,18412,5953,9285,7951,8028
147.9603491787665,16978,6204,9776,8188,7971
129.31941333944752,18697,5878,9316,7720,8142
129.96331429863653,17404,5599,9508,8321,8102
146.74890809302175,16909,6240,10373,8534,8267
155.78665924239962,17315,6030,9879,8119,7701
117.95836298399445,18195,5576,8868,7613,7537
125.05437828289689,18429,5774,9531,7582,8221
147.29015466425895,17809,6132,9673,8511,8262
140.73218766787812,18365,5647,9075,7732,7852
145.58457129516847,18102,5979,9642,8142,7798
168.25771338332186,16921,6195,10568,8790,7968
155.36123063635134,16507,5706,10281,8224,7773
159.50544982657314,16969,5900,9927,8298,7779
134.78072483943907,17813,5527,9328,8219,7874
135.001173855609,18113,5996,9461,8084,7919
139.13382337659993,16990,5944,9493,8137,7717
133.87064164508348,18020,5960,9246,7628,7837
143.03389168080378,17642,6060,9947,8375,7982
150.8612950468589,17481,6133,9130,7979,7989
115.30602914992359,19080,5576,8162,6994,7920
126.117154941474,18004,5614,9217,7689,7775
138.09429082053126,17088,6060,9334,8253,7905
160.72425462130013,17469,6087,10033,8858,7829
145.0539636719671,18197,6095,9267,7720,8071
129.62020349099188,18501,5911,9187,7477,8300
120.80449032603926,17654,5628,8574,7451,7729
145.40288898896338,17417,6298,9330,8180,7684
130.16296084006729,17900,6045,9133,7509,7963
148.87083128753835,17026,6053,9599,8624,7468
134.99159575302355,17201,5765,9497,7837,7497
143.09340784632664,17271,5518,10033,8639,7835
113.74088785910774,18231,5413,8579,6960,7651
122.91076047050409,18751,5660,8895,7474,8064
133.67137688376454,18417,6060,9424,7772,7977
143.37609875589894,17119,5867,9570,8143,7712
145.30107509032203,17185,6053,9631,8003,8190
134.02358701974293,18307,6011,8899,7312,8113
151.4058438154395,17659,5918,9318,8136,7915
133.34562931410412,18253,5881,9446,8027,7998
145.5704943662498,17982,5807,9609,8245,7935
145.72243714187516,18673,6241,9366,7704,8036
118.365430153769,18007,5455,8854,7571,7924
143.46962955043583,17829,6033,9356,7534,7630
148.0244098559608,18496,6096,9484,7715,7652
172.30933691852667,16578,6608,10172,8837,7840
130.38671860303467,17406,5764,9290,8341,8241
153.62038425798949,17339,6281,10478,8781,7828
134.97943330848858,17173,5717,9382,7924,7899
180.88095179910516,16153,6741,10298,8463,7431
111.0188998054358,18605,5449,8999,7405,8070
133.14981977318317,17608,5892,9781,8644,8193
