cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
141.94564301996465,9457,4316,1749,2291,1137
134.24508936932114,9311,4354,1762,2424,967
103.27862654283113,9209,4447,1741,2507,866
96.81352322018626,8719,4662,1934,2560,856
92.50539051017226,8864,4495,1935,2592,797
87.1748113841169,8617,4625,2231,2756,850
113.22273775257476,9182,4433,1959,2528,887
159.78543256693223,9233,4439,1702,2305,1109
101.33627941315837,9081,4426,1651,2494,812
207.93459728522646,9470,4769,1328,2084,1161
166.5403279040453,9534,4571,1560,2357,1177
156.4812180097341,9545,4526,1514,2299,1132
146.47971490304255,9495,4401,1575,2285,1062
193.85790279310487,9812,4431,1435,2069,1149
105.69237479741446,8914,4587,1899,2568,850
137.83544585462386,9487,4370,1508,2388,1101
134.99870918830635,9157,4481,1727,2472,993
116.41769698780466,9443,4487,1732,2380,875
110.94831977191814,9018,4411,1850,2532,809
98.577746043375,8863,4619,2008,2568,820
132.86891110475494,9588,4349,1605,2367,1029
111.69797242523187,9002,4452,1913,2454,889
99.93525166633026,9162,4498,1723,2531,850
171.0511047334261,10210,4296,1303,2157,1206
107.08721798652437,8938,4582,1815,2474,970
107.16483887424593,9223,4300,1727,2529,841
122.61757066186914,9257,4418,1637,2359,1003
145.8016752758644,9655,4408,1599,2247,1062
93.99196237823018,8853,4402,1878,2537,842
99.06727990294499,8788,4589,2043,2577,824
156.95219939303487,9327,4527,1720,2511,1087
131.87460053007266,9652,4419,1586,2329,988
113.07090379645801,9051,4465,1723,2464,881
107.75052922459116,9065,4596,1834,2490,914
135.05777419954708,9337,4449,1771,2333,946
83.47624623150567,8983,4414,2079,2711,781
130.47506080147375,9423,4303,1783,2362,950
102.27606298132758,9269,4326,1795,2529,1031
141.81933260960645,9804,4334,1536,2259,1125
199.60869164053747,9558,4580,1529,2272,1092
146.6905641427284,9530,4399,1486,2259,1105
94.22132365304137,8729,4688,1818,2591,791
143.86187998241977,9427,4316,1635,2564,1035
121.54143282043927,9370,4356,1852,2385,960
151.44899302163742,9988,4312,1532,2215,1293
107.8226004459009,9132,4383,1898,2539,881
112.31889302585046,9692,4170,1555,2342,1020
106.88555778358537,8942,4438,1914,2537,900
116.448683194446,9112,4425,1994,2528,975
110.79096382873456,9216,4374,1865,2616,957
127.54764395225618,9615,4371,1624,2367,1003
142.62373106165833,9493,4535,1617,2382,1109
86.5640985013064,8896,4561,2122,2601,794
