cycle_time,spt_policy,fifo_policy,hrrn_policy,longest_queue_policy,shortest_queue_policy
57.89261260912309,3141,3340,2389,3007,1081
74.80202618175959,3565,3039,2705,2761,944
81.75794628224283,3720,3190,2795,2455,825
61.372993470862575,3255,3281,2411,2872,1105
60.286283690083074,3427,3386,2569,2618,1039
75.31698833552572,3775,3329,2474,2583,1043
60.87278123735169,3402,3382,2413,2701,1088
71.01027538590135,3619,3354,2510,2582,909
69.92364195811044,3586,3128,2574,2651,1205
59.60541716895485,3362,3335,2266,2762,1072
63.10014010557728,3233,3212,2588,3145,945
57.676819308460594,3240,3271,2346,3269,1007
69.2057984425897,3502,3554,2370,2714,1006
63.991658417108326,3339,3083,2506,2931,1057
61.95414237190764,3223,3175,2477,2949,1176
75.14828247394453,3638,3153,2489,2582,1074
68.69936093020382,3390,3390,2836,2743,906
53.36110316852975,3172,3440,2301,2997,1072
74.2087402902744,3649,3347,2345,3062,703
64.79840916350992,3524,3267,2660,2778,915
72.79048898283163,3607,3221,2645,2818,794
65.99064607967196,3408,3505,2543,2641,1087
69.7197322183342,3518,3223,2602,2877,989
58.60781607957081,3530,3371,2284,2705,1098
59.50271748378164,3394,3559,2436,2468,1117
60.776794676864704,3234,3254,2571,2941,1051
85.02455644798837,4039,3122,2368,2585,840
66.82136910026426,3611,3157,2367,2942,1067
60.88409254502929,3417,3533,2387,2656,966
68.53734544322442,3530,3543,2442,2810,977
56.76614369436405,3210,3447,2485,2930,1048
54.52751499079166,3321,3060,2421,2954,1176
74.39395869008597,3606,3121,2749,2601,1019
63.940537056143874,3111,3306,2654,2913,1014
78.58460534373523,3755,3008,2731,2723,867
56.51041812031793,3202,3466,2330,2924,1079
81.07474817549931,3666,3154,2469,2897,862
93.54395059293445,3767,2995,2929,2697,811
69.23659112130925,3283,3388,2341,2923,960
67.02209250546082,3683,3260,2499,2869,892
58.40624301848495,3422,3163,2471,2809,1231
67.54777374276021,3228,3403,2515,2713,1133
59.99153928430915,3454,3383,2318,2638,1095
67.39239289067416,3582,3280,2335,2789,976
52.705844629618674,2987,3233,2342,3174,1227
64.08835642415819,3463,3542,2326,2838,1064
63.249571569695036,3282,3737,2395,2615,972
55.16258707781105,3157,3406,2422,2861,1258
66.21907219722735,3453,3205,2555,2765,1095
73.34624731207171,3480,3118,2715,2701,934
64.50557948917532,3385,3611,2416,2610,1055
62.76606907890248,3280,3391,2791,2659,999
59.26793126497364,3293,3482,2326,2813,1118
65.33407146298838,3438,3341,2363,2751,854
53.978276733784575,2972,3599,2387,2915,1065
66.38833586017927,3208,3422,2709,2529,1008
58.691925196222684,3175,3446,2503,2844,942
64.09093984891905,3273,3502,2406,2703,884
58.24436509932565,3330,3420,2341,2830,1045
61.451992094500284,3370,3472,2298,2597,1068
58.12914993457815,3215,3067,2445,3021,1161
68.31489178297734,3448,3380,2505,2693,943
58.63860313926571,3408,3355,2160,2852,1090
80.71862331558226,3824,3118,2860,2570,809
65.08525388172805,3209,3336,2464,2880,1101
66.29253909911655,3648,3166,2547,2622,1059
61.97932217020279,3115,3325,2365,3078,1142
76.40339490922784,3517,3213,2668,2608,946
66.29429213748712,3363,3154,2644,2708,994
66.35825410567178,3708,3106,2238,2841,1057
64.86806202452918,3458,3207,2523,2886,910
64.79897462307967,3618,3334,2389,2677,1053
56.66522008221187,3206,3654,2385,2799,1020
64.18410818461865,3408,3442,2780,2570,956
55.97459632775012,3213,3309,2486,2834,1069
63.139410158557574,3480,3393,2273,3011,888
60.38097376796326,3585,3275,2298,2769,946
71.5776864486282,3217,2956,2950,2890,1026
64.86095629510402,3472,3272,2580,2784,1037
61.062792299857364,3337,3427,2451,2845,986
61.977334745071595,3630,3376,2500,2657,944
62.858109518275874,3477,3296,2412,2810,1076
73.41522096422953,3457,3272,2521,2892,1027
70.78492943663049,3369,3170,2739,2784,941
61.03789259896248,3267,3235,2221,3135,1137
78.45674379103166,3618,3265,2514,2666,854
52.28616702965406,3117,3506,2383,2748,1178
85.6619453379835,3807,3079,2902,2601,810
62.94451886919237,3349,3136,2557,3006,1050
66.99563813977053,3550,3335,2462,2714,887
68.87583528348102,3712,3471,2306,2743,846
65.15798983827169,3399,3146,2668,2963,921
62.13476388646777,3434,3654,2615,2556,974
64.8255745468544,3371,3323,2496,2887,1048
